=== EFFECTIVE RECORD OFFSET ACCESS MAP ===
offset=0x40 count=26
  ref=0x02041618 literal=0x02179f62 base_offset=0x42 dst=r0 -> access=0x02041620 ldrsb r1, [r0, r1] disp=+0x0
  ref=0x02051850 literal=0x02179f62 base_offset=0x42 dst=r2 -> access=0x02051858 ldrsb r2, [r2, r0] disp=+0x0
  ref=0x0205ae64 literal=0x02179f62 base_offset=0x42 dst=r1 -> access=0x0205ae6c ldrsb r1, [r1, r3] disp=+0x0
  ref=0x02094664 literal=0x02179f62 base_offset=0x42 dst=r3 -> access=0x02094674 ldrsb r4, [r3, r5] disp=+0x0
  ref=0x02099b08 literal=0x02179f62 base_offset=0x42 dst=sl -> access=0x02099b2c ldrsb r2, [sl, r2] disp=+0x0
  ref=0x02099d74 literal=0x02179f62 base_offset=0x42 dst=r2 -> access=0x02099d98 ldrsb ip, [r2, r3] disp=+0x0
  ref=0x0209c7fc literal=0x02179f62 base_offset=0x42 dst=r2 -> access=0x0209c804 ldrsb r0, [r2, r3] disp=+0x0
offset=0x43 count=2
  ref=0x0203a6ac literal=0x02179f63 base_offset=0x43 dst=r1 -> access=0x0203a6b4 ldrsb r2, [r1, r0] disp=+0x0
  ref=0x020604e8 literal=0x02179f63 base_offset=0x43 dst=r6 -> access=0x020604ec ldrsb r3, [r6, r3] disp=+0x0
offset=0x44 count=9
  ref=0x0203f890 literal=0x02179f64 base_offset=0x44 dst=r7 -> access=0x0203f898 ldrsb r7, [r7, r8] disp=+0x0
  ref=0x02053d68 literal=0x02179f64 base_offset=0x44 dst=r1 -> access=0x02053d70 ldrsb r1, [r1, r4] disp=+0x0
  ref=0x0205e51c literal=0x02179f64 base_offset=0x44 dst=r5 -> access=0x0205e528 ldrsb r5, [r5, r3] disp=+0x0
  ref=0x0205f984 literal=0x02179f64 base_offset=0x44 dst=r4 -> access=0x0205f98c ldrsb r4, [r4, r5] disp=+0x0
  ref=0x02085ac8 literal=0x02179f64 base_offset=0x44 dst=r3 -> access=0x02085ae0 ldrsb r3, [r3, sb] disp=+0x0
  ref=0x020876c4 literal=0x02179f64 base_offset=0x44 dst=r2 -> access=0x020876cc ldrsb r2, [r2, r8] disp=+0x0
  ref=0x02087ec4 literal=0x02179f64 base_offset=0x44 dst=r2 -> access=0x02087ecc ldrsb r3, [r2, r3] disp=+0x0
  ref=0x020930b0 literal=0x02179f64 base_offset=0x44 dst=r2 -> access=0x020930b8 ldrsb r2, [r2, r1] disp=+0x0
  ref=0x020bbbb0 literal=0x02179f64 base_offset=0x44 dst=r2 -> access=0x020bbbb8 ldrsb r2, [r2, r1] disp=+0x0
offset=0x48 count=31
